First_Name	CNIC	RollNo	cgpa	program	Phone
Ernie	24924-1596717-0	3214	2.4	BS	0092-334-521408
Albina	16439-1400722-7	3214	1.2	BS	0092-343-474708
Alishia	16540-4435190-5	3220	2.3	BS	0092-302-693962
Solange	33271-4481503-6	3221	2.6	BS	0092-342-542817
Jose	18932-1808024-3	3230	3.1	BS	0092-348-996604
Rozella	21635-1398364-5	3235	2	MS	0092-318-457959
Valentine	41934-2973508-0	3239	3.2	BS	0092-346-469558
Kati	20548-3064600-3	3246	1.7	BS	0092-331-459772
Youlanda	22673-1336243-5	3251	2.1	BS	0092-305-565036
Dyan	29090-2185709-0	3259	1.3	BS	0092-318-956891
Roxane	22181-1350898-5	3266	1.5	BS	0092-313-646881
Lavera	39174-2777849-5	3275	3.3	BS	0092-327-598363
Erick	28786-5529803-7	3278	1.5	BS	0092-325-466438
Fatima	35542-2798084-1	3287	1.5	BS	0092-306-531710
Jina	23648-3326293-3	3289	2	BS	0092-311-490964
Kanisha	28540-2762992-8	3296	2.7	BS	0092-339-582301
Emerson	13527-3335698-5	3303	3.1	BS	0092-331-662728
Blair	21342-1361760-1	3306	1	MS	0092-327-888282
Brock	30783-1028157-5	3315	3.3	BS	0092-324-590416
Lorrie	42726-3579724-5	3317	2	BS	0092-344-541749
Sabra	35072-1539016-3	3320	3.9	BS	0092-302-487700
Marjory	15994-3963904-6	3321	1.6	BS	0092-333-919171
Karl	11650-1328396-3	3325	1.8	BS	0092-316-709917
Tonette	21124-3047206-9	3330	3.9	BS	0092-330-478712
Amber	36909-6100192-9	3333	3.5	BS	0092-324-798710
Shenika	32619-3006928-5	3341	2.2	BS	0092-331-839589
Delmy	19961-1791800-5	3345	3.5	BS	0092-318-807460
Deeanna	13039-2671800-2	3350	2.7	MS	0092-343-777762
Blondell	35898-4999100-7	3350	2.7	BS	0092-321-537280
Jamal	17200-1441177-4	3355	4	MS	0092-307-456572
Cecily	14693-2935318-6	3360	1.5	BS	0092-303-660041
Carmelina	39087-1127224-0	3365	3.1	BS	0092-325-452558
Maurine	41762-1799986-6	3367	2.3	BS	0092-310-507926
Tawna	33556-3027256-6	3369	1.8	BS	0092-305-683820
Penney	39704-2070235-9	3377	3.1	BS	0092-300-594842
Elly	22022-1472152-7	3377	2.6	MS	0092-334-451786
Ilene	30448-3636820-5	3384	2.4	BS	0092-343-858700
Vallie	26925-1150682-0	3386	1.1	MS	0092-308-610525
Kallie	36946-3201100-8	3394	3	BS	0092-321-659312
Johnetta	38962-5423834-9	3394	3.5	BS	0092-302-720289
Bobbye	17636-2096515-1	3397	1.2	BS	0092-324-486411
Micaela	17085-1060129-2	3397	2.7	BS	0092-327-715136
Tamar	30289-2439649-5	3401	1.7	BS	0092-337-512084
Moon	23161-4703225-8	3410	3.5	BS	0092-318-515136
Laurel	15764-1406410-2	3417	3.4	BS	0092-314-648631
Delisa	17950-6537376-1	3424	1.3	BS	0092-314-527020
Viva	36434-4736472-9	3426	2.6	BS	0092-335-659050
Elza	15021-1043035-1	3432	1.8	BS	0092-337-539941
Devorah	18925-1834532-7	3433	2.8	BS	0092-337-619385
Timothy	25871-1901638-3	3440	3.8	BS	0092-342-560518
Arlette	12111-2582560-2	3443	2.4	BS	0092-343-466368
Dominque	38442-3029384-0	3446	3.1	BS	0092-301-510368
Lettie	41310-1319950-6	3446	2.5	MS	0092-336-790439
Myra	17128-1194892-8	3446	2.9	BS	0092-321-521220
Stephaine	42756-2404500-9	3446	2.5	BS	0092-345-884291
Lai	33840-6656376-0	3455	3.3	BS	0092-326-535881
Stephen	27432-1008576-4	3455	3.5	BS	0092-341-860149
Tyra	38633-1665620-4	3459	1.6	BS	0092-333-835835
Tammara	15538-6986108-2	3468	2.4	BS	0092-315-907173
Cory	23549-1032220-1	3474	3.6	BS	0092-323-752763
Danica	36489-1119568-4	3477	2	BS	0092-348-617767
Wilda	22611-1910732-6	3478	1.5	BS	0092-306-562937
Elvera	30615-2525905-6	3485	1.1	BS	0092-312-487815
Carma	13523-2990098-1	3493	1.8	MS	0092-301-922164
Malinda	12995-2079234-3	3496	3.7	BS	0092-311-483231
Natalie	15973-5059510-1	3502	2.5	MS	0092-318-514439
Lisha	40693-1075900-9	3508	1.3	MS	0092-346-480445
Arlene	26097-1291175-3	3515	1.2	MS	0092-344-880137
Alease	16149-2266540-4	3517	3.6	BS	0092-337-666553
Louisa	16479-2548645-1	3519	4	MS	0092-319-693864
Angella	14860-1203040-8	3525	1.6	BS	0092-301-671297
Cyndy	34455-2069992-8	3528	4	BS	0092-346-469199
Rosio	23232-4849817-6	3531	2.5	BS	0092-337-456916
Celeste	38274-1124000-1	3540	3.6	BS	0092-305-955813
Twana	36890-6477808-2	3543	3	BS	0092-344-582093
Estrella	28166-2748940-0	3551	1.3	BS	0092-325-700956
Donte	27906-4251300-8	3551	1.8	MS	0092-312-471996
Tiffiny	13580-1099825-7	3552	2.7	BS	0092-325-604654
Edna	10337-3256222-7	3559	3	BS	0092-326-951240
Sue	13181-2645788-7	3564	3.9	MS	0092-317-751586
Jesusa	40221-1812620-2	3572	2.7	MS	0092-308-688978
Rolland	22079-2519518-1	3577	1.7	BS	0092-348-491373
Pamella	18976-1151267-1	3577	2.7	BS	0092-300-558551
Glory	11836-2143528-8	3583	3.4	BS	0092-311-505385
Shawna	21072-4819214-5	3589	1.5	BS	0092-344-631754
Brandon	28762-6227390-1	3593	1.3	BS	0092-321-501496
Scarlet	31895-1874995-9	3596	1.6	BS	0092-344-772794
Oretha	30083-2285551-8	3596	1.8	BS	0092-339-558321
Ty	13276-1821275-9	3596	2	BS	0092-315-706692
Xuan	15006-2521891-7	3596	1.3	BS	0092-344-682329
Lindsey	34567-2166353-1	3600	3	BS	0092-301-919618
Devora	24723-2850292-1	3603	1.1	BS	0092-332-641591
Herman	10495-5939396-2	3605	2.6	BS	0092-331-836476
Rory	11338-1102816-9	3606	2.6	BS	0092-337-675210
Talia	28846-4376199-5	3613	3.3	BS	0092-346-487504
Van	34474-2979046-3	3618	2.6	MS	0092-318-494511
Lucina	22779-1993840-7	3625	3.7	BS	0092-334-539859
Bok	31901-7462855-6	3625	1.7	BS	0092-321-836198
Rolande	32974-5536156-9	3626	3.1	MS	0092-315-468107
Howard	16139-3806623-3	3634	3.6	MS	0092-300-532084
Kimbery	11023-6018145-3	3640	1.2	BS	0092-329-904294
Thurman	41690-4513572-6	3644	2	BS	0092-314-773601
Becky	16038-1365210-5	3651	1	BS	0092-302-710200
Beatriz	41203-2141074-0	3653	2.7	BS	0092-336-667866
Marti	18044-3630808-8	3656	3.9	BS	0092-337-533163
Nieves	22078-2645515-3	3657	3.4	BS	0092-327-499644
Leatha	29047-2571136-9	3662	2.4	BS	0092-329-842560
Valentin	33699-3076000-2	3665	3.9	BS	0092-321-864945
Melissa	37504-1156957-2	3665	1.9	MS	0092-303-457624
Sheridan	36363-1007770-0	3668	3.9	BS	0092-311-646520
Bulah	41088-2034706-0	3675	3.9	BS	0092-316-600372
Audra	32348-7283200-5	3675	1.1	BS	0092-308-457354
Daren	13917-1443680-8	3676	1.9	BS	0092-343-687643
Fernanda	33152-1185176-4	3683	3.7	BS	0092-309-829295
Gearldine	37633-1020760-0	3685	2	BS	0092-334-475454
Chau	26717-6537760-6	3690	2.5	MS	0092-342-568277
Theola	39250-1019800-5	3699	3.5	BS	0092-344-580352
Cheryl	10205-7393920-9	3703	1.7	MS	0092-318-621406
Laticia	20538-6829200-6	3706	2.7	BS	0092-329-649526
Carissa	22759-2228114-3	3707	2	BS	0092-329-746605
Lezlie	25248-4332061-9	3716	1.4	BS	0092-337-485253
Ozell	14434-1228898-6	3720	3.2	BS	0092-345-453396
Arminda	40811-2465512-7	3728	1.3	BS	0092-322-697627
Reita	10040-2427932-5	3728	2	BS	0092-344-735346
Yolando	31109-3497035-5	3730	3.2	BS	0092-333-630165
Lizette	10832-1171072-6	3735	2.4	BS	0092-316-737156
Gregoria	34773-3005216-5	3735	1.8	MS	0092-329-813146
Carin	27282-2346850-3	3737	3.2	MS	0092-345-553510
Chantell	34115-1575554-9	3739	1.1	BS	0092-344-474935
Dierdre	13542-1845964-7	3745	2	BS	0092-327-478479
Larae	20663-2505946-4	3750	1.6	BS	0092-331-519287
Latrice	31284-2742848-1	3751	1.4	BS	0092-310-465111
Kerry	27929-1185020-5	3752	2.2	BS	0092-300-475098
Dorthy	20324-1501075-5	3760	1.1	BS	0092-340-581134
Fannie	33105-1199066-7	3761	2.4	BS	0092-325-453855
Evangelina	27998-3260664-1	3768	1.3	BS	0092-334-672728
Novella	22600-2516060-0	3777	2.4	BS	0092-333-466935
Clay	17441-2224443-2	3785	3.8	BS	0092-320-458275
Jennifer	20142-1151076-1	3786	3.1	BS	0092-317-771858
Irma	38411-1204240-8	3787	4	BS	0092-348-643451
Eun	40412-3242848-3	3788	2.3	MS	0092-322-614159
Sylvia	42503-1149032-2	3795	3.7	MS	0092-324-485439
Nana	31409-1093380-0	3804	1.1	BS	0092-326-877463
Layla	17470-7874008-2	3810	1.1	MS	0092-341-474053
Joesph	22356-2228920-4	3817	2.1	BS	0092-313-766575
Annabelle	34007-7289740-2	3817	1.1	BS	0092-346-661120
Stephaine	27117-2123228-1	3822	3.5	BS	0092-342-493803
Nelida	16379-2547424-9	3825	3.2	BS	0092-310-487044
Marguerita	11430-1876033-4	3826	3.3	MS	0092-304-517088
Carmela	37330-1432288-1	3827	3.1	BS	0092-316-541088
Junita	23973-7422130-9	3834	3.3	BS	0092-340-498344
Claribel	23171-3360883-4	3841	2.9	BS	0092-309-458028
Benton	32530-1219772-0	3845	2.6	MS	0092-302-455330
Hillary	15927-2402500-9	3848	3.3	BS	0092-329-456912
Merilyn	22294-1800410-6	3856	3.9	MS	0092-317-798764
Teri	42261-2993420-2	3864	3	MS	0092-345-469299
Merlyn	28633-2280840-7	3867	3.5	BS	0092-303-922374
Georgene	15174-2765936-1	3870	2.1	BS	0092-330-780470
Jettie	38786-5082420-2	3877	2.6	BS	0092-342-917113
Lemuel	28913-6254005-3	3878	2.7	BS	0092-344-764440
Melodie	11862-4719696-7	3882	2.2	MS	0092-338-483430
Candida	25623-3052290-9	3883	3.8	MS	0092-306-626071
Karan	34671-1070460-5	3891	4	BS	0092-320-675234
Andra	35052-3288942-4	3892	3.1	BS	0092-303-496073
Felicidad	10075-1685197-6	3892	1.6	MS	0092-331-926138
Belen	16329-1093568-3	3894	1.9	BS	0092-328-937787
Gracia	40323-2432410-5	3895	2.1	MS	0092-310-581394
Jolanda	18965-1002300-5	3898	2.6	BS	0092-337-959834
Barrett	23885-1104748-2	3903	2.3	BS	0092-305-457350
Helga	19768-1493164-1	3906	2.5	BS	0092-340-452157
Ashlyn	15906-1306269-8	3910	2.1	BS	0092-342-476155
Fausto	21146-3315423-0	3913	2.9	MS	0092-323-507912
Ronny	31595-2641792-4	3916	3.4	BS	0092-308-488629
Marge	18339-2942352-6	3923	2	BS	0092-310-839133
Norah	13454-4845715-0	3932	1	BS	0092-322-899005
Aliza	32187-4739840-1	3934	2.8	BS	0092-302-496953
Mozell	27893-1398520-5	3938	3.8	BS	0092-304-478016
Viola	10826-3175096-8	3945	3.6	BS	0092-340-648354
Franklyn	35846-4966060-1	3953	3.2	BS	0092-320-666190
Willodean	26296-2880553-4	3962	2.4	BS	0092-323-752880
Beckie	23851-2141991-3	3966	1.8	BS	0092-307-887563
Rebecka	12397-1293832-7	3973	3.9	BS	0092-348-481789
Frederica	36811-1160332-8	3977	1.3	MS	0092-340-652223
Glen	26833-1829787-2	3978	3.4	BS	0092-323-459672
Freeman	14982-1179520-3	3981	1.8	BS	0092-338-828505
Vincent	23406-3890910-1	3990	1.1	BS	0092-331-737654
Rima	27204-1737937-7	3991	2	BS	0092-329-456891
Glendora	27132-1029992-0	3994	2.1	MS	0092-339-518633
Avery	40397-1408449-5	3999	1.1	BS	0092-311-492529
Cristy	22826-3681361-8	4006	1.5	BS	0092-333-480964
Nicolette	20426-4718572-1	4015	1.5	BS	0092-305-906786
Tracey	26016-2216530-5	4020	3.7	MS	0092-303-909224
Virgina	32482-5469080-4	4029	3.2	BS	0092-312-663279
Tiera	20485-1791000-3	4032	2.6	BS	0092-333-520641
Alaine	11710-1964710-1	4035	3.8	MS	0092-300-485526
Earleen	23810-3624820-3	4041	3.6	BS	0092-300-459014
Leonida	36984-3981394-4	4041	2.7	BS	0092-328-720849
Ressie	31337-3016380-1	4049	3.1	BS	0092-331-841452
Justine	18996-2586190-8	4056	1.6	BS	0092-339-480580
Eladia	23924-2293632-9	4057	2.1	MS	0092-343-634262
Chaya	37896-4406481-0	4061	2.7	BS	0092-340-534441
Gwenn	40971-1557190-5	4067	3.4	MS	0092-315-854628
Salena	21980-1574948-4	4071	3.1	MS	0092-300-563828
Yoko	31766-7227824-5	4079	1.2	BS	0092-316-895150
Taryn	39832-1803088-7	4081	2.1	BS	0092-338-657364
Katina	20350-4595424-6	4089	1.2	BS	0092-330-556358
Rickie	40643-1312498-7	4098	2.8	BS	0092-332-452048
Alex	28613-1558135-2	4106	3.4	MS	0092-318-826045
Lashon	14202-2731273-2	4107	3	MS	0092-331-479647
Lauran	25319-1665091-9	4111	3.2	BS	0092-311-531050
Ceola	37714-1196904-2	4119	2.7	BS	0092-330-554718
My	28222-4504240-8	4123	1.7	BS	0092-337-912882
Lorrine	28018-3004982-2	4123	3.9	BS	0092-318-914027
Peggie	12018-1755216-5	4126	1.9	BS	0092-321-666003
Marvel	17666-1160356-2	4132	3.9	BS	0092-341-890765
Daron	34346-1207050-6	4132	2.7	BS	0092-305-487481
An	23852-2870624-6	4134	3.3	BS	0092-333-533109
Portia	39182-1684588-8	4137	1.5	BS	0092-332-996648
Rhea	15638-3430291-5	4146	3.4	BS	0092-337-644434
Benedict	20679-1437265-2	4153	2.2	BS	0092-313-774823
Alyce	12264-5542484-2	4157	2.5	BS	0092-336-453649
Heike	23165-1327030-7	4157	2.8	MS	0092-318-481423
Carey	17611-1443635-5	4158	1.4	MS	0092-335-607468
Dottie	10071-1419146-9	4162	2.1	BS	0092-325-454650
Deandrea	20199-2571616-4	4168	3.7	MS	0092-301-853516
Kimberlie	27774-2009400-6	4175	1.9	BS	0092-307-539704
Martina	25955-5164890-3	4175	3.5	MS	0092-324-495573
Skye	41754-6740614-1	4179	1.2	BS	0092-342-733969
Jade	25447-2808490-0	4181	2.6	BS	0092-317-476801
Charlene	34898-1698650-6	4188	2.5	BS	0092-326-638433
Geoffrey	26653-1044631-5	4190	1	MS	0092-341-459892
Stevie	40270-2321926-5	4193	2.4	BS	0092-316-582463
Pamella	22187-3589462-8	4196	2.5	BS	0092-339-816580
Harrison	10039-3177288-7	4196	1.9	MS	0092-300-603049
Johnna	22073-2397508-1	4201	3	BS	0092-307-557189
Buddy	12085-3997313-0	4206	1.8	BS	0092-315-713622
Dalene	20976-4275398-2	4206	3.1	BS	0092-336-632733
Jerry	33391-6025966-1	4206	2.7	BS	0092-335-503846
Haydee	30967-1086688-5	4210	3.5	BS	0092-328-768878
Joseph	12814-1100992-2	4218	3.3	BS	0092-309-661814
Deonna	31839-3416730-2	4226	3.1	BS	0092-333-558278
Raymon	21771-1426657-1	4235	3.3	BS	0092-322-686723
Alecia	29406-2030320-3	4237	2.7	BS	0092-300-513705
Ma	30595-1665275-6	4239	1.2	BS	0092-324-510513
Detra	31465-1704214-7	4241	1.9	MS	0092-327-860853
Terrilyn	23357-2164279-5	4242	1.2	BS	0092-336-734769
Salome	36074-1663692-4	4249	4	MS	0092-306-759807
Garry	27295-7186924-1	4254	4	BS	0092-310-702242
Matthew	34120-2417896-3	4258	2.2	BS	0092-308-461979
Theodora	29714-2023516-5	4258	2.6	MS	0092-313-717928
Noah	42091-3323622-8	4262	1	BS	0092-322-692624
Carmen	10751-1093717-4	4263	1.8	BS	0092-315-675961
Lavonda	21827-1630515-6	4267	2.8	MS	0092-312-567539
Junita	17952-1141449-5	4272	2.7	BS	0092-338-823909
Herminia	22129-1082770-2	4278	3.8	BS	0092-312-677481
Casie	32844-3004456-4	4281	2	MS	0092-331-771169
Reena	42501-3876750-5	4288	2.1	BS	0092-327-452234
Mirta	25137-2214442-0	4290	3.9	MS	0092-317-770435
Cathrine	22438-3394025-3	4298	2.3	BS	0092-343-483557
Filiberto	33144-2498180-7	4304	1.3	MS	0092-340-695239
Raul	33532-7088250-9	4307	3	MS	0092-326-506436
Sarah	30664-1021200-3	4309	3.5	BS	0092-320-757105
Lucy	17328-5884738-1	4311	1.7	MS	0092-323-754240
Judy	25290-3502440-8	4317	3.8	BS	0092-310-877047
Yvonne	14698-5677452-5	4322	3.4	MS	0092-339-656803
Kayleigh	25638-1687720-8	4330	3.9	BS	0092-313-544748
Felix	34769-1916350-7	4336	2.6	BS	0092-331-805575
Tresa	41347-1383116-0	4344	1.1	BS	0092-311-880146
Kristeen	22158-5298184-2	4349	2.9	BS	0092-300-710282
Jenelle	17545-2026704-7	4358	2.8	BS	0092-312-566868
Renea	20809-1598560-9	4362	2.4	MS	0092-311-471004
Olive	31457-3574208-4	4365	3.4	BS	0092-313-516160
Ligia	10153-2773517-6	4370	3.5	BS	0092-315-665537
Christiane	30259-1257372-9	4379	3.7	MS	0092-342-755104
Goldie	36182-1148464-9	4380	1.1	BS	0092-330-812619
Loreta	27686-1386883-8	4389	1.6	BS	0092-311-522993
Fabiola	14841-1756700-6	4395	1.1	BS	0092-333-855079
Amie	38499-2252584-2	4403	1.1	BS	0092-321-492171
Raina	26938-1355995-6	4403	1.9	MS	0092-311-470830
Erinn	12946-1955512-9	4411	3.6	BS	0092-316-646153
Cherry	23232-4150332-8	4418	3.1	BS	0092-345-510076
Kattie	33370-3940501-7	4419	2.5	BS	0092-334-549097
Lilli	26467-2009008-6	4420	2.8	BS	0092-325-965050
Whitley	14099-4534876-6	4425	3.4	BS	0092-317-861485
Barbra	38752-3078550-0	4430	2.4	BS	0092-326-557105
Hermila	16008-3735062-7	4432	1.2	BS	0092-319-526036
Jesusita	27911-2850824-4	4437	1.3	BS	0092-317-996664
Caitlin	15771-2049076-7	4441	2.1	BS	0092-321-670609
Roosevelt	30016-3161600-1	4443	1.8	BS	0092-305-724111
Helaine	21300-1828506-7	4447	3.9	MS	0092-342-494206
Lorean	24819-1445725-8	4449	1.7	BS	0092-347-678714
France	16955-1255450-9	4453	1.5	BS	0092-347-755830
Justine	34056-3416128-3	4456	2.8	BS	0092-336-463229
Adelina	29080-1287988-7	4458	1.7	BS	0092-314-516004
Derick	23143-2069668-2	4460	1.9	BS	0092-335-454607
Jerry	27699-3963550-4	4467	3.7	MS	0092-343-481298
Leota	32249-2987794-0	4468	1.9	BS	0092-339-454537
Jutta	17043-2773064-2	4470	1.3	BS	0092-330-460421
Aja	19782-1142944-5	4473	2.2	BS	0092-317-998346
Kirk	13198-2670029-7	4477	2.4	BS	0092-343-683641
Leonora	23888-1389574-1	4485	1.1	BS	0092-314-761866
Winfred	16048-2116408-6	4487	2.1	BS	0092-302-589357
Tarra	10259-6439096-6	4489	3.8	MS	0092-303-507355
Corinne	38432-6261312-0	4489	1.9	BS	0092-344-665613
Dulce	33210-5893383-5	4490	3.3	BS	0092-330-623393
Kate	12295-4090729-2	4490	1.7	MS	0092-307-773726
Kaitlyn	33387-1325076-9	4495	3.7	BS	0092-340-505121
Sherita	18060-1347979-9	4503	2.5	BS	0092-320-672483
Lashawnda	34382-3669472-0	4507	1.3	BS	0092-338-686952
Ernest	22488-2513348-4	4514	2.2	MS	0092-342-499022
Nobuko	11661-1600704-0	4522	2.5	MS	0092-337-613442
Lavonna	42514-1884588-4	4528	3.7	BS	0092-307-534140
Lashaunda	23629-1333523-4	4530	3.4	BS	0092-346-612877
Mariann	14179-2177698-3	4533	2.2	MS	0092-341-508076
Helene	15033-2168920-2	4542	3.5	BS	0092-312-502979
Roselle	25610-1473246-3	4550	1.3	BS	0092-312-962185
Samira	17178-4182840-2	4553	2	BS	0092-332-917624
Margart	18411-2695204-5	4557	2.4	BS	0092-316-873163
Kristofer	30323-1256750-9	4566	1.1	BS	0092-311-656169
Weldon	21223-2698479-0	4570	2.9	BS	0092-323-690289
Shalon	12732-1269512-5	4575	3.1	BS	0092-339-638635
Denise	34727-5425015-5	4583	1.8	BS	0092-302-501794
Louvenia	14749-1096448-1	4584	1.7	MS	0092-314-657441
Audry	27859-6198688-8	4591	2.1	BS	0092-348-542841
Kristel	22205-4625588-1	4594	3.7	MS	0092-305-519681
Vincenza	36114-2249668-7	4603	3.2	MS	0092-335-455342
Elouise	21957-4980448-2	4606	3.1	MS	0092-325-506989
Venita	30476-1111657-5	4615	3.9	BS	0092-310-470676
Kasandra	34652-3597881-2	4622	1.2	BS	0092-331-542698
Xochitl	15722-2853674-4	4623	3.3	MS	0092-317-883525
Maile	16427-2825285-1	4631	1.2	MS	0092-315-477935
Krissy	30420-6521816-0	4636	2.9	BS	0092-302-703630
Pete	29512-1293230-5	4636	3.4	BS	0092-300-971494
Linn	28849-2623078-2	4644	2	MS	0092-303-753562
Paris	36343-3462280-0	4653	3.3	BS	0092-334-710107
Wynell	40185-6555802-8	4655	3.6	BS	0092-320-571992
Quentin	16851-1228231-3	4660	2.8	BS	0092-315-457599
Regenia	17121-1200855-3	4662	2.3	BS	0092-336-558970
Sheron	22722-1852147-5	4671	3.9	BS	0092-315-451612
Izetta	32338-1401440-5	4679	1.4	BS	0092-319-570762
Rodolfo	16557-1033840-3	4685	2.8	BS	0092-316-804714
Zona	36658-7199674-3	4692	3.8	BS	0092-337-509750
Serina	35709-3539700-5	4699	1.5	MS	0092-308-475337
Paz	22891-3154708-4	4706	3.2	BS	0092-302-577146
Markus	28440-1791340-2	4709	1.9	BS	0092-328-589713
Jaclyn	25827-1154323-1	4712	2	BS	0092-331-490352
Cyril	17768-4366384-9	4720	1.4	BS	0092-333-681605
Gayla	23940-2714077-2	4722	3.1	BS	0092-317-564594
Erick	23037-1829600-6	4724	3.4	BS	0092-318-540105
Jennie	12829-2631685-2	4724	2	BS	0092-302-977559
Mitsue	21755-4068975-4	4730	1.6	BS	0092-312-903693
Ciara	12125-4718830-9	4734	1.6	BS	0092-332-468699
Galen	37446-1098440-4	4738	2.4	BS	0092-335-541005
Truman	33533-1289224-7	4746	1.6	BS	0092-316-454354
Gail	35589-4537600-8	4750	1.4	BS	0092-343-471023
Dalene	34853-3156000-4	4752	2	MS	0092-325-529861
Gertude	31841-1525042-0	4755	3.8	BS	0092-344-582961
Lizbeth	24063-2798748-0	4761	3.2	BS	0092-330-482761
Glenn	26498-1732336-8	4768	3.5	BS	0092-321-687502
Lashandra	26544-1523692-4	4771	2.5	MS	0092-346-962943
Lenna	37263-1443487-8	4772	2.9	BS	0092-329-695651
Laurel	19555-6980421-0	4780	1.5	MS	0092-309-694845
Mireya	22452-1121260-6	4789	2.6	BS	0092-321-615246
Annelle	11366-3661520-0	4797	2.6	BS	0092-310-883393
Dean	16925-1048412-4	4803	2.3	BS	0092-337-535702
Levi	15175-2752066-1	4812	2.2	MS	0092-332-555523
Sylvie	41103-1236946-3	4819	1.6	BS	0092-309-539868
Sharee	12516-1122980-8	4822	2.9	BS	0092-327-565208
Cordelia	12658-2869710-1	4831	2.9	BS	0092-315-512865
Mollie	15783-3885025-9	4836	1.4	BS	0092-308-654435
Brett	38703-5917130-5	4842	3.2	BS	0092-302-841386
Teddy	30199-1001386-0	4843	1.8	BS	0092-341-921410
Tasia	22572-1626290-2	4845	3.3	BS	0092-304-594557
Hubert	21051-3602336-1	4853	3.7	BS	0092-342-543148
Arthur	24274-1570240-2	4859	1.5	BS	0092-338-697834
Vilma	11997-1785288-0	4868	2.5	BS	0092-305-488043
Billye	31113-1797120-8	4872	1.1	MS	0092-315-530665
Glenna	19524-3263908-0	4878	1.1	BS	0092-317-529692
Mitzie	23226-2695792-7	4879	2.3	BS	0092-300-496388
Bernardine	20184-1026691-6	4882	2.4	BS	0092-338-489353
Staci	39115-1061628-3	4884	2.1	BS	0092-337-475793
Nichelle	16129-2478257-3	4887	1.1	BS	0092-344-598387
Janine	11814-1994032-2	4887	2.2	BS	0092-330-567704
Ettie	35111-1851414-3	4891	1.9	BS	0092-324-472564
Eden	31025-1490064-7	4899	2.8	BS	0092-308-491133
Lynelle	32178-7807962-8	4904	1.1	BS	0092-316-539674
Merissa	15446-1591052-5	4913	3	MS	0092-333-958420
Golda	20746-1614052-3	4922	3.1	MS	0092-347-759369
Catarina	40444-1269136-5	4930	1.7	BS	0092-345-520815
Virgie	39831-1935112-1	4937	3.3	BS	0092-310-505624
Jolene	10378-1073890-0	4940	4	BS	0092-301-492253
Keneth	22978-4858260-1	4942	3.9	BS	0092-321-838239
Rikki	19050-1949824-4	4951	1.7	MS	0092-317-539927
Elke	41724-4192541-8	4955	3	BS	0092-327-699498
Hoa	42174-5782393-5	4956	3.4	BS	0092-306-844258
Trinidad	21452-5233562-4	4957	3.4	BS	0092-310-471524
Mari	25190-2842720-8	4963	2.1	BS	0092-334-554390
Selma	36103-3976143-5	4970	1.4	BS	0092-304-602293
Antione	27244-1617376-5	4977	3.5	BS	0092-325-731047
Luisa	15251-1300031-6	4982	2.4	MS	0092-340-624971
Clorinda	15289-3682980-6	4982	2.9	BS	0092-333-470377
Dick	28762-1476448-0	4988	1.8	BS	0092-323-591371
Ahmed	31028-1778800-0	4991	3.6	MS	0092-300-502773
Iluminada	24643-1898212-7	4991	2.6	BS	0092-323-796806
Joanna	40118-3516990-8	4997	2	BS	0092-345-485657
Caprice	38841-2964184-5	5006	3.3	MS	0092-314-785738
Stephane	32620-4727161-5	5014	1.9	MS	0092-307-514857
Quentin	34485-4850640-6	5015	1.9	BS	0092-302-468567
